,City,Country,Max Temp,Lat,Lng,Hotel Name
305,Vaini,TO,86.16,-21.2,-175.2,Keleti Beach Resort
307,Saint-Philippe,RE,78.35,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
308,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
309,Atuona,PF,77.67,-9.8,-139.0333,Villa Enata
310,Rabo De Peixe,PT,62.28,37.8,-25.5833,Quinta das Giestas
311,Busselton,AU,68.04,-33.65,115.3333,Observatory Guest House
313,Kuching,MY,75.42,1.55,110.3333,The Ranee Boutique Suites
314,Puerto Ayora,EC,75.54,-0.7393,-90.3518,Finch Bay Galapagos Hotel
315,Ancud,CL,67.53,-41.8697,-73.8203,Hotel Arena Gruesa
316,Vaini,TO,86.16,-21.2,-175.2,Keleti Beach Resort
317,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
322,Road Town,VG,73.49,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
326,Noumea,NC,85.98,-22.2763,166.4572,Hôtel Le Lagon
328,Kirakira,SB,85.03,-10.4544,161.9205,SanBiz Lodge
329,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
330,Cape Town,ZA,69.89,-33.9258,18.4232,Southern Sun Waterfront Cape Town
331,Hilo,US,78.53,19.7297,-155.09,Hilo Hawaiian Hotel
332,Busselton,AU,68.04,-33.65,115.3333,Observatory Guest House
334,Bluff,NZ,53.8,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
335,North Bend,US,65.91,43.4065,-124.2243,Red Lion Hotel Coos Bay
336,Richards Bay,ZA,71.04,-28.783,32.0377,BON Hotel Waterfront Richards Bay
337,Bairiki,KI,87.8,1.3292,172.9752,Tarawa Boutique Hotel
338,Bluff,NZ,53.8,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
342,Port Alfred,ZA,75.36,-33.5906,26.891,The Halyards Hotel
343,Bredasdorp,ZA,67.32,-34.5322,20.0403,Bredasdorp Country Manor
344,Busselton,AU,68.04,-33.65,115.3333,Observatory Guest House
345,El Alto,PE,71.37,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
346,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
347,Hermanus,ZA,66.9,-34.4187,19.2345,Misty Waves Boutique Hotel
348,Samarai,PG,82.38,-10.6167,150.6667,Nuli Sapi
349,Cabo San Lucas,MX,78.1,22.8909,-109.9124,Hotel Tesoro Los Cabos
350,Maun,BW,67.15,-19.9833,23.4167,Enviro Villa
353,Isangel,VU,86.11,-19.55,169.2667,Tanna Lodge
355,Kaitangata,NZ,55.92,-46.2817,169.8464,Kaitangata Motor Camp
356,Mackay,AU,82.69,-21.15,149.2,International Lodge Motel
357,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
358,Olavarria,AR,55.76,-36.8927,-60.3225,Hotel Santa Rosa
360,Progreso,MX,71.71,21.2833,-89.6667,Playa Linda Hotel
362,Codrington,AU,85.75,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
364,Obregon,NI,86.09,11.9566,-85.9636,Hostal Casa Aryen
365,Saint-Philippe,RE,78.35,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
367,Kruisfontein,ZA,69.76,-34.0033,24.7314,Oyster Bay House Rental
368,Busselton,AU,68.04,-33.65,115.3333,Observatory Guest House
369,Hobart,AU,79.02,-42.8794,147.3294,Mantra on Collins Hobart
370,Cape Town,ZA,69.89,-33.9258,18.4232,Southern Sun Waterfront Cape Town
375,New Norfolk,AU,78.66,-42.7826,147.0587,The Shingles Riverside Cottages
377,Soe,ID,74.89,-9.8607,124.284,Dena Hotel
378,San Cristobal,VE,73.58,7.7669,-72.225,Posada Villaven C.A.
379,Carutapera,BR,77.16,-1.195,-46.02,Lidera
381,Atuona,PF,77.67,-9.8,-139.0333,Villa Enata
382,Tuatapere,NZ,53.82,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
383,Muli,MV,80.38,2.9167,73.5667,Medhufushi Island Resort
384,Bredasdorp,ZA,67.32,-34.5322,20.0403,Bredasdorp Country Manor
385,Hermanus,ZA,66.9,-34.4187,19.2345,Misty Waves Boutique Hotel
387,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
391,Arraial Do Cabo,BR,75.07,-22.9661,-42.0278,Pousada Porto Praia
392,Port Macquarie,AU,71.56,-31.4333,152.9167,Rydges Port Macquarie
394,Kyabe,TD,77.29,9.4515,18.9449,
395,Imbituba,BR,76.89,-28.24,-48.6703,Praia Hotel Imbituba
396,Sur,OM,68.18,22.5667,59.5289,Sur Plaza Hotel
399,Panalingaan,PH,82.17,8.7842,117.4231,I Love Panalingaan View Deck
401,Praia,CV,73.94,14.9215,-23.5087,LT Aparthotel
403,Taltal,CL,68.2,-25.4,-70.4833,Residencial Karime
404,Sydney,AU,77.36,-33.8679,151.2073,The Grace Sydney
406,Mataura,NZ,53.47,-46.1927,168.8643,Ellie's Villa
407,Hermanus,ZA,66.9,-34.4187,19.2345,Misty Waves Boutique Hotel
408,Lorengau,PG,82.58,-2.0226,147.2712,Lorengau Harbourside Hotel
409,Kaitangata,NZ,55.92,-46.2817,169.8464,Kaitangata Motor Camp
410,Butaritari,KI,83.08,3.0707,172.7902,Isles Sunset Lodge
412,Cape Town,ZA,69.89,-33.9258,18.4232,Southern Sun Waterfront Cape Town
414,Lompoc,US,82.71,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
415,Saldanha,ZA,68.05,-33.0117,17.9442,Blue Bay Lodge
417,Kapaa,US,79.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
418,Port Elizabeth,ZA,70.09,-33.918,25.5701,39 On Nile Guest House
419,Mataura,NZ,53.47,-46.1927,168.8643,Ellie's Villa
421,Mae Ramat,TH,64.72,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
422,Mataura,NZ,53.47,-46.1927,168.8643,Ellie's Villa
423,Port Alfred,ZA,75.36,-33.5906,26.891,The Halyards Hotel
425,Vaini,TO,86.16,-21.2,-175.2,Keleti Beach Resort
427,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
428,East London,ZA,75.09,-33.0153,27.9116,Tu Casa
429,Vaini,TO,86.16,-21.2,-175.2,Keleti Beach Resort
431,Ibra,OM,59.56,22.6906,58.5334,مزرعة راحة النفوس المنزفة
432,Lima,PE,72.39,-12.0432,-77.0282,Gran Hotel Bolivar Lima
433,Hobart,AU,79.02,-42.8794,147.3294,Mantra on Collins Hobart
434,Butaritari,KI,83.08,3.0707,172.7902,Isles Sunset Lodge
435,Sechura,PE,74.8,-5.5569,-80.8222,Hospedaje Costa Bella
436,Mayo,US,54.01,38.8876,-76.5119,Resorts Resource Group International
437,Touros,BR,81.5,-5.1989,-35.4608,INN NEW HORIZON
440,Port Elizabeth,ZA,70.09,-33.918,25.5701,39 On Nile Guest House
441,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
443,Inirida,CO,77.16,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
444,Mataura,NZ,53.47,-46.1927,168.8643,Ellie's Villa
445,Nola,IT,53.55,40.922,14.5329,Villa Minieri Eventi
446,Cayenne,GF,78.1,4.9333,-52.3333,Hôtel Le Dronmi
447,Saint-Philippe,RE,78.35,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
451,Tuatapere,NZ,53.82,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
453,Comodoro Rivadavia,AR,76.86,-45.8667,-67.5,Austral Hotel
454,Namibe,AO,74.34,-15.1961,12.1522,Hotel Chik Chik Namibe
455,Kruisfontein,ZA,69.76,-34.0033,24.7314,Oyster Bay House Rental
456,New Norfolk,AU,78.66,-42.7826,147.0587,The Shingles Riverside Cottages
457,Kapaa,US,79.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
459,New Norfolk,AU,78.66,-42.7826,147.0587,The Shingles Riverside Cottages
460,Mahebourg,MU,77.29,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
461,Hilo,US,78.53,19.7297,-155.09,Hilo Hawaiian Hotel
462,Mataura,NZ,53.47,-46.1927,168.8643,Ellie's Villa
463,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
466,Busselton,AU,68.04,-33.65,115.3333,Observatory Guest House
467,Hermanus,ZA,66.9,-34.4187,19.2345,Misty Waves Boutique Hotel
469,Babati,TZ,61.57,-4.2167,35.75,White Rose Lodge
471,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
473,Port Macquarie,AU,71.56,-31.4333,152.9167,Rydges Port Macquarie
474,Nedjo,ET,62.15,9.5046,35.5019,Yerosan Hotel
475,Bredasdorp,ZA,67.32,-34.5322,20.0403,Bredasdorp Country Manor
476,Gyanpur,IN,51.75,25.35,82.4667,Shyam Dhar Yadav Shiv dhar Yadav
477,Puerto Ayora,EC,75.54,-0.7393,-90.3518,Finch Bay Galapagos Hotel
478,Mataura,NZ,53.47,-46.1927,168.8643,Ellie's Villa
480,Georgetown,MY,78.89,5.4112,100.3354,Cititel Penang
481,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
483,Soledade,BR,66.99,-28.8183,-52.5103,Pousada Da Gringa
485,Mar Del Plata,AR,62.87,-38.0023,-57.5575,Gran Hotel Mar del Plata
488,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
489,Ahipara,NZ,71.1,-35.1667,173.1667,Ahipara Holiday Park
492,Lebu,CL,58.12,-37.6167,-73.65,Hostal Las Lilas
493,Vaini,TO,86.16,-21.2,-175.2,Keleti Beach Resort
494,Hobart,AU,79.02,-42.8794,147.3294,Mantra on Collins Hobart
497,Busselton,AU,68.04,-33.65,115.3333,Observatory Guest House
499,Makakilo City,US,80.35,21.3469,-158.0858,Marriott's Ko Olina Beach Club
500,Gladstone,AU,85.78,-23.85,151.25,Highpoint International Hotel
501,Mar Del Plata,AR,62.87,-38.0023,-57.5575,Gran Hotel Mar del Plata
502,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
503,Nago,JP,73.47,26.5881,127.9761,Hotel Yugaf Inn Okinawa
504,Bredasdorp,ZA,67.32,-34.5322,20.0403,Bredasdorp Country Manor
505,Bluff,NZ,53.8,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
507,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
508,Marsh Harbour,BS,75.07,26.5412,-77.0636,Abaco Beach Resort
509,Port Alfred,ZA,75.36,-33.5906,26.891,The Halyards Hotel
510,Flinders,AU,77.38,-34.5833,150.8552,Shellharbour Resort & Conference Centre
513,Bauchi,NG,63.43,10.5,10.0,
514,Matay,EG,53.37,28.419,30.7792,Nag Aespen
517,Airai,TL,69.82,-8.9266,125.4092,
519,Hithadhoo,MV,81.19,-0.6,73.0833,Scoop Guest House
520,Puerto Ayora,EC,75.54,-0.7393,-90.3518,Finch Bay Galapagos Hotel
521,Coquimbo,CL,65.88,-29.9533,-71.3436,Hostel Del Puerto
524,Victoria,HK,64.94,22.2855,114.1577,Mini Hotel Central
526,Sechura,PE,74.8,-5.5569,-80.8222,Hospedaje Costa Bella
527,Bluff,NZ,53.8,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
528,Hermanus,ZA,66.9,-34.4187,19.2345,Misty Waves Boutique Hotel
529,Port Elizabeth,ZA,70.09,-33.918,25.5701,39 On Nile Guest House
530,New Norfolk,AU,78.66,-42.7826,147.0587,The Shingles Riverside Cottages
531,Lebu,CL,58.12,-37.6167,-73.65,Hostal Las Lilas
533,Arraial Do Cabo,BR,75.07,-22.9661,-42.0278,Pousada Porto Praia
535,Bandarbeyla,SO,74.19,9.4942,50.8122,JABIR HOTEL
536,Punta Arenas,CL,51.91,-53.15,-70.9167,Hotel Hain
537,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
538,Laguna,US,77.29,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
539,Grahamstown,ZA,70.0,-33.3042,26.5328,Bartholomew's Loft
540,Naberera,TZ,62.92,-4.2,36.9333,
541,Hermanus,ZA,66.9,-34.4187,19.2345,Misty Waves Boutique Hotel
543,Matara,LK,74.93,5.9485,80.5353,Amaloh Boutique Resort
544,Victoria,HK,64.94,22.2855,114.1577,Mini Hotel Central
546,Nushki,PK,52.11,29.5542,66.0215,Shams hotel
547,Hermanus,ZA,66.9,-34.4187,19.2345,Misty Waves Boutique Hotel
549,Taoudenni,ML,61.79,22.6783,-3.9836,
550,Inhambane,MZ,74.5,-23.865,35.3833,Oceano
551,Atuona,PF,77.67,-9.8,-139.0333,Villa Enata
553,Ancud,CL,67.53,-41.8697,-73.8203,Hotel Arena Gruesa
554,Rikitea,PF,78.84,-23.1203,-134.9692,People ThankYou
555,Butaritari,KI,83.08,3.0707,172.7902,Isles Sunset Lodge
556,Najran,SA,59.65,17.4924,44.1277,محمد هادي ال فطيح
557,Namatanai,PG,84.07,-3.6667,152.4333,Seagulls Inn Namatani
558,Hobart,AU,79.02,-42.8794,147.3294,Mantra on Collins Hobart
